0422_4,0.238,-0.06979,-0.08375,0.02608,-0.14224,-0.01948,2
0422_4,0.404,-0.0063,-0.21031,0.04727,-0.22615,-0.17641,2
0422_4,0.569,0.00957,-0.29432,0.13066,-0.30208,-0.16592,2
0422_4,0.735,0.03955,-0.37253,0.13338,-0.397,-0.19717,2
0422_4,0.901,0.02267,-0.42775,0.14017,-0.47239,-0.16741,2
0422_4,1.066,-0.0136,-0.46896,0.09942,-0.54859,-0.12588,2
0422_4,1.232,-0.04736,-0.52286,0.09155,-0.61077,-0.13338,2
0422_4,1.397,-0.04359,-0.56725,0.07389,-0.69001,-0.2158,2
0422_4,1.563,-0.097,-0.61428,0.00869,-0.77062,-0.25048,2
0422_4,1.728,-0.1106,-0.65391,0.11681,-0.83362,-0.07664,2
0422_4,1.894,-0.12849,-0.69777,0.08095,-0.91588,-0.08071,2
0422_4,2.059,-0.19979,-0.73079,-0.00842,-0.98246,-0.12845,2
0422_4,2.225,-0.23985,-0.77756,-0.0546,-1.06225,-0.24748,2
0422_4,2.391,-0.36481,-0.80583,-0.32353,-1.14479,-0.23592,2
0422_4,2.556,-0.38345,-0.84519,-0.30615,-1.19844,-0.42239,2
0422_4,2.722,-0.37363,-0.87505,-0.32706,-1.24658,-0.51423,2
0422_4,2.888,-0.50589,-0.92683,-0.5873,-1.37451,-0.70156,2
0422_4,3.054,-0.5462,-0.96514,-0.55144,-1.3935,-0.73774,2
0422_4,3.22,-0.53159,-0.97439,-0.54493,-1.42926,-0.72982,2
0422_4,3.386,-0.53386,-1.00556,-0.48,-1.49034,-0.83129,2
0422_4,3.551,-0.54948,-1.03225,-0.44496,-1.52473,-0.88225,2
0422_4,3.717,-0.5331,-1.07426,-0.37759,-1.54894,-0.91457,2
0422_4,3.886,-0.49859,-1.10491,-0.38764,-1.56022,-0.85185,2
0422_4,4.051,-0.54822,-1.1308,-0.42486,-1.61167,-0.96595,2
0422_4,4.217,-0.53839,-1.16699,-0.43138,-1.66614,-0.97816,2
0422_4,4.382,-0.57669,-1.19183,-0.39851,-1.69476,-1.07664,2
0422_4,4.548,-0.50086,-1.21746,-0.3401,-1.72502,-1.1171,2
0422_4,4.713,-0.52932,-1.23674,-0.30751,-1.71264,-1.0974,2
0422_4,4.878,-0.50615,-1.2592,-0.29039,-1.74951,-1.09526,2
0422_4,5.044,-0.46886,-1.2843,-0.1198,-1.73245,-1.14022,2
0422_4,5.209,-0.39101,-1.29011,0.16788,-1.64551,-1.16206,2
0422_4,5.375,0.52605,-1.16884,8.99507,7.88612,6.45147,2
0422_4,5.54,6.93035,1.81324,12.88832,10.9697,10.40242,2
0422_4,5.705,12.7504,4.18025,20.3005,14.24669,15.75734,2
0422_4,5.87,17.54505,5.81172,20.31788,16.43171,25.85918,2
0422_4,6.036,18.38149,7.89841,18.85669,14.87589,23.93498,0
0422_4,6.201,16.55644,8.66539,17.33682,13.63151,21.60958,0
0422_4,6.367,14.98636,7.67304,16.32195,12.99928,20.10863,0
0422_4,6.533,13.95794,7.08915,15.52222,12.34174,19.03328,0
0422_4,6.698,13.35203,6.65083,14.84038,11.8036,18.46873,0
0422_4,6.864,12.732,6.30182,14.29545,11.33891,17.31952,0
0422_4,7.03,12.21477,5.99138,13.84262,10.96502,16.72672,0
0422_4,7.197,11.73987,5.69784,13.43841,10.62524,16.30133,0
0422_4,7.363,11.36271,5.45187,13.06,10.16139,15.69504,0
0422_4,7.529,11.06391,5.24077,12.71229,9.87663,15.29192,0
0422_4,7.694,10.7951,5.05239,12.39256,9.6249,14.92626,0
0422_4,7.86,10.59178,4.88779,12.11684,9.41305,14.57345,0
0422_4,8.026,10.38141,4.72663,11.86176,9.19708,14.24804,0
0422_4,8.191,10.16399,4.58501,11.6113,9.0045,14.11316,0
0422_4,8.357,9.99796,4.44868,11.37361,8.82622,13.82457,0
0422_4,8.522,9.80145,4.32345,11.16553,8.63335,13.5863,0
0422_4,8.688,9.63164,4.20588,10.96723,8.62015,13.50623,0
0422_4,8.853,9.47267,4.08593,10.79718,8.47213,13.14421,0
0422_4,9.02,9.27867,3.97074,10.64886,8.33044,12.8385,0
0422_4,9.185,9.09425,3.86056,10.4932,8.16372,12.59315,0
0422_4,9.352,8.94385,3.75145,10.34081,8.02286,12.36151,0
0422_4,9.518,8.79671,3.65369,10.20553,7.8897,12.18853,0
0422_4,9.684,8.65865,3.55593,10.07595,7.76589,11.98601,0
0422_4,9.851,8.52689,3.46426,9.9529,7.65832,11.81602,0
0422_4,10.017,8.40066,3.38314,9.82278,7.52186,11.70192,0
0422_4,10.184,8.29082,3.29384,9.6875,7.42612,11.56126,0
0422_4,10.35,8.17921,3.22277,9.58237,7.31139,11.43966,0
0422_4,10.516,8.07415,3.14034,9.47235,7.20574,11.29451,0
0422_4,10.681,7.97589,3.07191,9.37021,7.10092,11.1789,0
0422_4,10.847,7.87285,3.00665,9.25395,6.98317,11.06651,0
0422_4,11.013,7.7877,2.94034,9.16675,6.89513,10.9387,0
0422_4,11.178,7.69851,2.87798,9.07167,6.79333,10.77364,0
0422_4,11.344,7.62116,2.81352,8.96817,6.70915,10.66253,0
0422_4,11.509,7.53525,2.75196,8.88315,6.62606,10.5527,0
0422_4,11.675,7.4511,2.69542,8.79269,6.53664,10.59467,0
0422_4,11.84,7.37376,2.7221,8.71391,6.47144,10.43432,0
0422_4,12.006,7.29188,2.7295,8.63378,6.39578,10.39835,0
0422_4,12.171,7.23544,3.28856,8.55119,6.33003,10.38893,0
0422_4,12.337,7.1455,3.09014,8.50366,6.2761,10.22408,0
0422_4,12.503,7.05002,2.93083,8.41157,6.18834,10.00443,0
0422_4,12.668,6.97292,2.82329,8.34094,6.13386,9.87255,0
