60575.10156,205551.2031,111,4
60573.1914,205582.8422,110.9,4
60570.20117,205586.0516,110.7,4
60572.48086,205606.0109,110.3,4
60566.51055,205618.0906,109.9,4
60571.66055,205621.95,109.2,4
60568.65039,205651.0203,108.3,4
60574.18008,205649.8703,107.2,4
60581.73008,205675.8,106,4
60584.13008,205682.2797,104.3,4
60594.23008,205695.0391,102.3,4
60597.6,205682.2703,100.2,4
60615.05,205674.761,97.9,4
60624.43008,205683.311,95.4,4
60645.35039,205670.6516,92.7,4
60655.15039,205689.2016,90.32139559,4
60673.11055,205671.661,88.34674865,4
60682.53086,205678.2813,86.9286412,4
60689.93086,205678.9907,86.08967541,4
60702.48086,205699.15,86.32247356,4
60707.33086,205713.0297,87.48967809,4
60720.82109,205720.7985,89.52395159,4
60721.31133,205751.7375,92.52797676,4
60724.60156,205749.8672,96.57445646,4
60724.60156,205777.086,101.4061137,4
60724.60156,205781.3157,106.714296,4
60724.60156,205766.986,112.1992047,4
60724.60156,205782.3547,117.5610413,4
60705.76133,205761.4047,122.5000071,4
60696.79101,205738.8657,126.7672089,4
60680.14101,205737.2969,130.3000044,4
60672.25078,205709.6172,133.0657309,4
60663.91055,205715.0578,135.1617057,4
60653.62031,205691.7188,136.515226,4
60648.95,205685.2391,137.0835688,4
60634.55977,205670.05,137.2539909,4
60632.69961,205677.1891,136.6437291,4
60622.23945,205684.8594,135.8,4
60639.39961,205677.2906,134.6,4
60646.47969,205702.261,133.4,4
60658.50938,205682.111,132,4
60669.8293,205694.311,130.4,4
60672.56953,205680.8313,128.5,4
60687.52969,205671.1516,126.3,4
60692.70977,205679.5719,124,4
60712.1,205668.6813,121.3,4
60721.4,205687.2422,118.9,4
60733.03008,205662.8328,115.9,4
60746.88008,205670.1625,112.9,4
60751.3,205665.3313,109.7,4
60769.08008,205659.9313,106.6,4
60777.60039,205676.511,104.1,4
60777.45039,205664.1813,102.7,4
60760.36016,205685.5703,103.1,4
60731.36016,205675.9797,104.8,4
60703.85,205677.8797,107.9,4
60668.21992,205685.55,112,4
60644.36992,205679.3204,117.1,4
60612.26992,205702.3797,122.6,4
