,time,중지,검지,약지,소지,엄지,target
1,0.246,-0.09981,-0.1263,-0.12799,-0.09051,-0.18094,R
1,0.412,-0.21505,-0.21182,-0.21531,-0.16873,-0.24093,R
1,0.578,-0.31365,-0.30103,-0.29725,-0.24094,-0.32602,R
1,0.744,-0.40075,-0.36076,-0.25119,-0.30137,-0.28276,R
1,0.91,-0.47969,-0.41865,-0.33313,-0.35735,0.06477,R
1,1.075,-0.53565,-0.46417,-0.42853,-0.40941,0.07147,R
1,1.241,-0.6031,-0.52285,-0.49611,-0.44577,0.09609,R
1,1.406,-0.67175,-0.55627,-0.56429,-0.49312,0.01195,R
1,1.571,-0.73376,-0.6181,-0.61543,-0.54466,0.12692,R
1,1.736,-0.78699,-0.66231,-0.67852,-0.59776,0.0839,R
1,1.902,-0.85232,-0.72625,-0.71411,-0.65872,0.02295,R
1,2.067,-0.90646,-0.76204,-0.77063,-0.69822,-0.1219,R
1,2.232,-0.96574,-0.81651,-0.82027,-0.75996,-0.09943,R
1,2.398,-1.02684,-0.86492,-0.87858,-0.82431,-0.33296,R
1,2.563,-1.09096,-0.91518,-0.93301,-0.87376,-0.30834,R
1,2.729,-1.14691,-0.95465,-1.00897,-0.92477,-0.50386,R
1,2.894,-1.19016,-0.90202,-1.05472,-0.95982,-0.35925,R
1,3.059,-1.23916,-0.94913,-1.12111,-1.00953,-0.4833,R
1,3.224,-1.27122,-0.98412,-1.1546,-1.06394,-0.48641,R
1,3.39,-1.32718,-1.01859,-1.19856,-1.11129,-0.53373,R
1,3.556,-1.38101,-1.0578,-1.24282,-1.15079,-0.58632,R
1,3.722,-1.42699,-1.10595,-1.30502,-1.18742,-0.55859,R
1,3.888,-1.4899,-1.10174,-1.35346,-1.23084,-0.61835,R
1,4.053,-1.5519,-1.14095,-1.42374,-1.27767,-0.54114,R
1,4.219,-1.60967,-1.19331,-1.46141,-1.30488,-0.6738,R
1,4.384,-1.67318,-1.23857,-1.51704,-1.34098,-0.72925,R
1,4.55,-1.72581,-1.27357,-1.56309,-1.38571,-0.88151,R
1,4.715,-1.77844,-1.2891,-1.62379,-1.43359,-0.9427,R
1,4.881,-1.82865,-1.33304,-1.67403,-1.48172,-1.06508,R
1,5.046,-1.89005,-1.39698,-1.73085,-1.49689,0.04016,P
1,5.211,0.09558,-0.18893,-0.45664,0.02904,0.38697,P
