,time,중지,검지,약지,소지,엄지,target
1,0.24,-0.06258,-0.08979,-0.15767,-0.15864,-0.30606,S
1,0.406,-0.43302,-0.42595,-0.64612,-0.40514,-0.53183,S
1,0.571,-0.62208,-0.68393,-0.76437,-0.49423,-0.61536,S
1,0.736,-0.68054,-0.68719,-0.83382,-0.61333,-0.64494,S
1,0.902,-0.54882,-0.67619,-0.74893,-0.66214,-0.66174,S
1,1.067,-0.32078,-0.496,-0.80733,-0.72487,-0.60318,S
1,1.233,-0.10905,-0.60819,-0.71619,-0.7378,-0.71121,S
1,1.398,0.01705,-0.56258,-0.73872,-0.77881,-0.70859,S
1,1.564,0.15646,-0.33942,-0.50033,-0.82567,-0.58053,S
1,1.729,0.0624,-0.37892,-0.60607,-0.8447,-0.55263,S
1,1.895,-0.05172,-0.3893,-0.65446,-0.83396,-0.46125,S
1,2.06,0.08919,-0.23843,-0.51869,-0.83152,-0.63015,S
1,2.226,0.00937,-0.293,-0.48511,-0.84739,-0.67114,S
1,2.392,0.0133,-0.28994,-0.42275,-0.89181,-0.58207,S
1,2.557,-0.01049,-0.2873,-0.5994,-0.99919,-0.85638,S
1,2.723,-0.13285,-0.36365,-0.64507,-1.00578,-0.69888,S
1,2.888,-0.05134,-0.27691,-0.5483,-1.19518,-1.05703,S
1,3.054,-0.22447,-0.55525,-0.82276,-1.39507,-1.25213,S
1,3.22,-0.34739,-0.55199,-0.82443,-1.39995,-1.25599,S
1,3.386,-0.14072,-0.52165,-0.44256,-1.39311,-1.25075,S
1,3.552,0.03204,-0.19832,-0.03796,-1.19859,-1.06027,S
1,3.719,0.24115,-0.11769,-0.11262,-1.27596,-1.17693,S
1,3.886,0.2063,-0.21379,-0.1779,-1.40165,-1.27463,S
1,4.051,0.52184,0.05701,0.10386,-1.2845,-0.95193,S
1,4.217,0.43059,-0.06129,0.23776,-1.32941,-0.96857,S
1,4.381,0.4126,-0.08063,0.26216,-1.34332,-1.16121,S
1,4.547,0.26345,-0.237,0.05131,-1.41801,-1.27386,S
1,4.712,0.08207,-0.21725,0.03817,-1.46999,-1.48484,S
1,4.878,-0.06895,-0.50435,-0.06653,-1.53443,-1.31902,S
1,5.044,-0.11111,-0.06414,0.49408,-1.51612,3.21948,P
1,5.209,4.35552,10.0474,5.29009,0.34218,23.95264,P
1,5.375,22.70246,33.88967,35.69172,15.61931,21.53437,P
1,5.54,36.15706,32.75779,36.04794,14.20936,12.96454,P
1,5.706,34.77968,29.75045,33.31394,12.33202,6.56025,P
1,5.87,32.00691,27.10921,33.2814,11.46121,3.90064,P
1,6.036,30.43147,25.78268,32.30597,10.78515,2.67224,P
1,6.201,29.47829,24.83121,30.58182,10.12447,1.99863,P
1,6.367,28.41382,24.00678,29.69252,9.8172,1.75067,P
1,6.533,27.32574,23.40532,28.86955,9.37056,1.29035,P
1,6.698,26.9152,23.02803,28.27954,9.14383,1.44646,P
1,6.864,26.25471,22.58313,27.83468,8.82362,1.28758,P
1,7.03,25.62962,22.19485,27.6403,8.592,0.85299,P
1,7.2,25.19173,21.78946,27.02568,8.25837,0.7334,P
1,7.365,24.60619,21.30242,26.46987,8.01381,0.55402,P
1,7.531,24.28559,20.91943,26.65132,8.01674,1.19527,P
1,7.696,23.93688,20.65351,26.10614,7.76389,0.73864,P
1,7.862,23.69929,20.38332,25.89988,7.54448,0.42919,P
1,8.028,23.43491,20.16525,25.5007,7.32165,0.04408,P
1,8.193,23.19151,19.94107,25.25084,7.1408,-0.16736,P
1,8.359,22.76448,19.74887,25.07503,7.07832,-0.07628,P
1,8.524,22.70284,19.53731,24.64123,6.80765,-0.59193,P
1,8.69,22.49017,19.39967,24.60702,6.6639,-0.80753,P
1,8.855,22.33296,19.17509,24.40743,6.52161,-0.97659,P
1,9.022,22.06408,18.95336,24.1582,6.43448,-0.95948,P
1,9.187,22.09612,18.86865,24.07103,6.35882,-1.27664,P
1,9.353,21.83661,18.55367,23.84286,6.2136,-1.37573,P
1,9.52,21.6275,18.37123,23.64494,6.105,-1.7123,P
1,9.685,21.63443,18.16864,23.46996,6.04374,-1.10635,P
1,9.851,21.36292,17.95485,23.23554,5.92927,-1.03499,P
1,10.016,21.27523,17.80194,23.05743,5.75062,-1.54617,P
1,10.182,20.94639,17.59649,22.91728,5.6464,-1.73973,P
1,10.347,20.72754,17.35297,22.75356,5.50875,-1.97598,P
1,10.513,20.49201,17.19029,22.56481,5.42455,-2.1999,P
1,10.678,20.32955,17.07565,22.33248,5.33937,-1.77209,P
1,10.844,20.19521,16.86125,22.21152,5.2105,-2.11329,P
1,11.01,19.91845,16.70895,22.0284,5.09994,-2.39454,P
1,11.174,19.74963,16.54993,21.87011,4.99671,-2.69027,P
1,11.34,19.59936,16.42491,21.76145,4.96595,-2.55204,P
1,11.505,19.43091,16.3339,21.69074,4.8632,-2.95395,P
1,11.671,19.32616,16.10545,21.54309,4.75826,-2.61199,P
1,11.836,19.20624,15.94826,21.49157,4.67625,-3.0814,P
1,12.002,19.07246,15.83301,21.44089,4.68016,-3.2859,P
1,12.167,18.96547,15.80084,21.3923,4.77583,-3.27743,P
1,12.333,18.79683,15.61067,21.22211,4.7502,-3.72434,P
1,12.499,18.80639,15.59642,21.27071,4.83269,-3.95073,P
1,12.664,18.74512,15.47059,21.35434,4.8344,-4.21626,P
1,12.831,18.73481,15.34414,21.15183,4.71921,-4.48055,P
1,12.996,18.53544,15.27105,20.89342,4.60889,-4.23984,P
1,13.163,18.40559,15.15234,20.80437,4.48393,-4.48425,P
1,13.328,18.3269,15.02956,20.63669,4.35213,-4.64653,P
1,13.494,18.16932,14.90088,20.48799,4.20545,-4.76535,P
1,13.659,18.09155,14.80661,20.34345,4.11393,-4.67365,P
1,13.825,17.9885,14.75489,20.11738,4.00752,-4.79601,P
1,13.991,17.88469,14.63191,19.99224,3.91282,-4.91375,P
1,14.157,17.71943,14.4733,19.96575,3.86132,-5.0392,P
1,14.323,17.59557,14.26643,19.79807,3.79933,-4.87815,P
1,14.488,17.36679,14.07035,19.60557,3.741,-4.4693,P
1,14.655,17.18429,13.94757,19.52298,3.59969,-4.93934,P
1,14.82,17.11702,13.83172,19.4965,3.55649,-5.05338,P
1,14.986,17.05388,13.73073,19.50526,3.52452,-5.21735,P
1,15.152,16.93714,13.5094,19.72946,3.94772,-5.19562,S
1,15.319,16.87119,13.43773,19.68629,4.15249,-3.10621,S
1,15.485,19.73764,13.61263,24.38783,17.20108,31.17309,S
1,15.651,13.232,10.13882,18.13669,16.45474,19.20609,S
1,15.817,9.21901,6.54447,15.37287,15.59075,16.00587,S
1,15.982,7.2289,4.7307,12.93211,11.47317,13.92156,S
1,16.148,5.40837,4.29172,10.86967,9.7347,12.5842,S
1,16.313,4.45276,3.59435,9.82646,8.77431,11.68236,S
1,16.479,3.75536,3.16717,8.72172,8.02138,9.85802,S
1,16.645,3.04671,2.5091,7.97842,7.44173,9.41927,S
1,16.81,2.59232,2.32891,7.49832,7.17912,8.81763,S
1,16.976,2.29683,2.07561,7.09955,6.78081,8.23449,S
1,17.141,2.02926,1.91619,6.8157,6.44742,7.66721,S
1,17.307,1.68112,1.42426,6.60548,6.17529,7.06773,S
1,17.473,1.35959,1.29252,6.34269,5.87582,6.45992,S
1,17.639,1.17184,1.0543,6.07282,5.54243,6.90114,S
1,17.804,1.39969,1.38781,5.93809,5.19122,5.92979,S
1,17.97,0.86024,0.74909,5.77187,4.86638,5.41476,S
1,18.135,0.76374,0.73605,5.84152,4.8305,5.83871,S
1,18.3,0.85255,0.66051,5.75852,4.65111,5.11733,S
1,18.466,0.45213,0.32557,5.50032,4.47734,4.69338,S
1,18.631,0.28687,0.09407,5.37435,4.19203,3.79539,S
1,18.797,0.20892,-0.07737,5.31179,3.99531,3.50289,S
1,18.963,0.05453,-0.24148,5.14452,3.82618,3.02176,S
1,19.128,-0.06521,-0.34451,5.00979,3.74905,2.48069,S
1,19.294,-0.31198,-0.41129,4.88778,3.71757,2.50442,S
1,19.46,-0.45157,-0.66438,4.70112,3.51402,2.48639,S
1,19.626,-0.56906,-0.73239,4.43751,3.31633,2.07199,S
1,19.792,-0.80271,-0.94089,4.34219,3.11156,1.70013,S
1,19.958,-1.06054,-1.20355,4.17159,2.86384,1.23503,S
1,20.124,-1.23124,-1.28377,3.98264,2.71227,0.92835,S
1,20.29,-1.40756,-1.4432,3.7843,2.61026,0.58191,S
1,20.456,-1.57938,-1.67002,3.69671,2.55583,0.42719,S
1,20.623,-1.6815,-1.80848,3.70067,2.50775,0.25644,S
1,20.789,-1.74033,-1.79463,3.61787,2.5446,0.01911,S
2,0.238,-0.17566,-0.08656,-0.09704,-0.1749,-0.32136,S
2,0.404,-0.36085,-0.14805,-0.1886,-0.32722,-1.05914,S
2,0.568,-0.55044,-0.34005,-0.3073,-0.46411,-1.36561,S
2,0.734,-0.68405,-0.47408,-0.39135,-0.57842,-1.55687,S
2,0.9,-0.80476,-0.59489,-0.46211,-0.68144,-1.73737,S
2,1.065,-0.88111,-0.6731,-0.52796,-0.77619,-1.95611,S
2,1.23,-1.0204,-0.83355,-0.6198,-0.85992,-2.14714,S
2,1.395,-1.20869,-1.03634,-0.69576,-0.93456,-2.34367,S
2,1.561,-1.33457,-1.18089,-0.73995,-1.01251,-2.49966,S
2,1.726,-1.3681,-1.22808,-0.78039,-1.07559,-2.61991,S
2,1.892,-1.4135,-1.2777,-0.83844,-1.14803,-2.71611,S
2,2.057,-1.52028,-1.4128,-0.87454,-1.2111,-2.84965,S
2,2.223,-1.57935,-1.46431,-0.91584,-1.2728,-2.93783,S
2,2.389,-1.62578,-1.50395,-0.93606,-1.32789,-3.02029,S
2,2.554,-1.63274,-1.51393,-0.96148,-1.3816,-3.10527,S
2,2.721,-1.69671,-1.60076,-0.97476,-1.42016,-3.17742,S
2,2.886,-1.76997,-1.67384,-0.98603,-1.46478,-3.19735,S
2,3.052,-1.79757,-1.70351,-0.9609,-1.43614,-3.30249,S
2,3.217,-1.8912,-1.81003,-0.95021,-1.45266,-3.35402,S
2,3.384,-1.96394,-1.86423,-0.93635,-1.43504,-3.41541,S
2,3.551,-2.02971,-1.93974,-0.97332,-1.4747,-3.45389,S
2,3.716,-2.09497,-2.03035,-0.97707,-1.4904,-3.49237,S
2,3.881,-2.16616,-2.10154,-1.00307,-1.53144,-3.53475,S
2,4.046,-2.22909,-2.16437,-1.07556,-1.60223,-3.54139,S
2,4.212,-2.28275,-2.24986,-1.10993,-1.6631,-3.61423,S
2,4.377,-2.33949,-2.2949,-1.1495,-1.72921,-3.73838,S
2,4.543,-2.38979,-2.36312,-1.17636,-1.77933,-3.8174,S
2,4.708,-2.44396,-2.41085,-1.18791,-1.82423,-3.85084,S
2,4.874,-2.5056,-2.48313,-1.22517,-1.87161,-3.93353,S
2,5.04,-2.5688,-2.53841,-1.26243,-1.85508,-3.73792,P
2,5.205,-2.43596,-0.92794,1.48337,0.68529,12.77475,P
2,5.371,10.05982,15.55216,18.63083,21.42198,14.41706,P
2,5.535,15.00628,16.26544,20.34179,16.06635,12.05896,P
2,5.701,14.16154,15.20699,20.39262,13.62541,9.74323,P
2,5.866,12.57342,13.97378,20.19102,12.47821,8.51184,P
2,6.032,11.75962,13.27399,20.19767,11.81275,7.65702,P
2,6.197,11.18958,12.67613,19.92704,11.21394,6.98406,P
2,6.365,10.68764,12.25302,19.72372,10.79335,6.53649,P
2,6.531,10.49547,11.87413,19.91809,10.4496,6.07861,P
2,6.697,10.40829,11.42054,19.67982,10.01193,5.68533,P
2,6.863,9.86765,11.05999,19.51519,9.67754,5.3461,P
2,7.028,9.58186,10.81675,19.53483,9.45912,5.07605,P
2,7.193,9.33372,10.66627,19.4967,9.22087,4.9109,P
2,7.358,9.13769,10.55679,19.49237,9.12253,4.78446,P
2,7.524,9.01826,10.39067,19.32659,8.97297,4.69169,P
2,7.689,8.51632,10.29521,18.95546,8.69808,4.41088,P
2,7.855,8.10465,10.19435,18.73884,8.51905,4.16419,P
2,8.021,7.8903,10.07678,18.62332,8.31605,3.9617,P
2,8.187,7.59935,9.86508,18.33305,8.14693,3.69417,P
2,8.354,7.29189,9.75371,18.31573,8.00012,3.39892,P
2,8.519,7.15647,9.60027,18.23572,7.83844,3.19117,P
2,8.686,7.00223,9.46543,18.13348,7.70788,3.2411,P
2,8.851,6.89183,9.40745,17.95152,7.57898,2.94997,P
2,9.018,6.7804,9.27531,17.86112,7.45971,2.80957,P
