,time,중지,검지,약지,소지,엄지,target
1,0.238,-0.62743,-0.35612,-0.30111,-0.16762,-0.50507,R
1,0.404,-0.81451,-0.5402,-0.42981,-0.31482,-0.81519,R
1,0.569,-1.19433,-0.81785,-0.71271,-0.47686,-1.1726,R
1,0.735,-1.45529,-1.00922,-1.16218,-0.82771,-1.46856,R
1,0.901,-1.75935,-1.25771,-1.4537,-1.06046,-1.73655,R
1,1.065,-2.08518,-1.49331,-1.73027,-1.24793,-2.09783,R
1,1.231,-2.29534,-1.76147,-1.88513,-1.30187,-2.38051,R
1,1.396,-2.45412,-1.90351,-2.10336,-1.58433,-2.69656,R
1,1.562,-2.67052,-2.11403,-2.26684,-1.89819,-2.90722,R
1,1.727,-2.66283,-2.20522,-2.30486,-1.93942,-3.11698,R
1,1.893,-2.80941,-2.36032,-2.53593,-2.07487,-3.16877,R
1,2.058,-3.09824,-2.5683,-2.74149,-2.27544,-3.51716,R
1,2.223,-3.38227,-2.73627,-3.02099,-2.59758,-3.82278,R
1,2.39,-3.56195,-2.90357,-3.22476,-2.74035,-4.06165,R
1,2.555,-3.84859,-3.10325,-3.50052,-2.81376,-4.22992,R
1,2.721,-4.08821,-3.3614,-3.62076,-2.89526,-4.55499,R
1,2.886,-4.29663,-3.54429,-3.7558,-3.15556,-4.85559,R
1,3.051,-4.44511,-3.68904,-3.93162,-3.28599,-4.73898,R
1,3.216,-4.57602,-3.68786,-4.04293,-3.39196,-5.40021,R
1,3.382,-4.74481,-4.01788,-4.22265,-3.40834,-5.69358,R
1,3.547,-5.01694,-4.22857,-4.37166,-3.49427,-5.9675,R
1,3.713,-5.12304,-4.374,-4.39978,-3.53666,-6.20187,R
1,3.879,-5.20693,-4.48621,-4.52019,-3.70274,-6.37903,R
1,4.044,-5.26571,-4.56452,-4.46022,-3.82547,-6.52887,R
1,4.211,-5.33813,-4.6908,-4.58291,-4.0507,-6.35545,R
1,4.377,-5.41839,-4.73606,-4.69113,-4.03105,-6.73283,R
1,4.544,-5.55772,-4.88065,-4.79854,-4.23355,-6.97428,R
1,4.709,-5.64132,-4.99184,-4.94057,-4.30406,-7.1289,R
1,4.875,-5.69938,-5.09151,-5.0288,-4.49616,-7.35321,R
1,5.04,-5.85932,-5.15676,-5.20414,-4.5923,-7.50241,P
1,5.206,-5.99821,-5.31152,-5.46641,-4.88574,-7.29588,P
