,time,중지,검지,약지,소지,엄지,target
1,0.238,-0.20677,-0.12926,-0.21614,-0.20024,-0.04682,P
1,0.403,-0.50801,-0.28868,-0.47025,-0.42797,-0.08684,P
1,0.569,-0.80888,-0.46597,-0.71379,-0.67418,-0.00238,P
1,0.735,-1.07353,-0.6227,-0.80956,-0.79405,-0.48476,P
1,0.901,-1.26811,-0.7439,-1.00025,-0.98829,-0.37953,P
1,1.066,-1.48143,-0.86529,-1.12536,-1.14581,-0.67138,P
1,1.232,-1.60994,-0.98034,-1.3044,-1.31233,-0.7526,P
1,1.397,-1.77066,-1.08732,-1.41204,-1.43705,-0.89443,P
1,1.563,-1.9332,-1.19104,-1.52896,-1.56362,-0.89171,P
1,1.729,-2.07044,-1.28535,-1.66378,-1.65069,-1.10948,P
1,1.896,-2.19731,-1.39483,-1.7684,-1.70566,-1.24655,P
1,2.062,-2.37987,-1.4901,-1.86935,-1.76317,-1.39843,P
1,2.229,-2.42847,-1.54887,-1.92651,-1.76433,-1.67104,P
1,2.395,-2.49399,-1.6015,-1.9882,-1.87727,-1.65656,P
1,2.56,-2.57099,-1.65201,-1.9813,-1.81814,-1.97208,P
1,2.726,-2.59556,-1.72366,-2.09002,-1.9782,-2.08582,P
1,2.891,-2.70477,-1.8558,-2.13144,-2.06943,-2.11476,P
1,3.056,-2.80033,-1.95069,-2.20974,-2.17082,-2.17146,P
1,3.221,-2.88005,-1.99563,-2.31652,-2.27776,-2.10335,P
1,3.387,-3.02839,-2.06977,-2.49275,-2.45675,-2.0962,P
1,3.552,-3.13888,-2.11664,-2.53633,-2.49648,-2.21692,P
1,3.718,-3.24063,-2.17407,-2.60837,-2.58263,-2.29133,P
1,3.884,-3.24336,-2.20634,-2.74427,-2.757,-2.08599,P
1,4.049,-3.33054,-2.24917,-2.76282,-2.76047,-2.386,P
1,4.215,-3.41664,-2.32139,-2.83724,-2.80782,-2.51473,P
1,4.38,-3.49964,-2.40705,-2.87025,-2.87156,-2.63409,P
1,4.546,-3.5668,-2.48273,-2.94165,-2.99074,-2.47727,P
1,4.711,-3.65999,-2.56052,-2.9699,-2.99951,-2.41478,P
1,4.876,-3.70149,-2.5899,-3.02167,-2.99328,-2.33458,P
1,5.043,-3.75228,-2.65482,-3.03526,-3.00875,1.34923,S
1,5.207,-3.30761,-2.28585,-0.12252,-0.08569,22.36404,S
1,5.374,0.13069,-0.80017,5.38263,8.20126,29.01737,S
1,5.539,0.63178,0.48306,7.92607,13.34388,32.33373,S
1,5.705,0.60084,0.85088,8.98219,15.52971,35.71599,S
1,5.871,0.50673,0.46117,7.29814,13.0889,31.9685,S
1,6.037,-0.69148,-0.90773,6.47865,10.4737,28.92866,S
1,6.203,-1.92483,-1.48395,4.96436,8.49689,27.72842,S
1,6.369,-2.60248,-2.17656,4.0023,7.43008,24.70152,S
1,6.536,-3.17692,-2.70764,3.42505,6.68176,24.28078,S
1,6.702,-3.51984,-2.88454,2.88858,6.04568,24.25966,S
1,6.868,-3.57809,-2.69766,2.86421,5.47059,23.0567,S
1,7.033,-3.92683,-3.06912,2.30401,4.91073,21.81032,S
1,7.199,-4.13597,-3.24737,2.02272,4.4495,20.89324,S
1,7.363,-3.93429,-3.51992,1.68901,3.87348,20.15444,S
1,7.529,-4.6751,-3.85105,1.58224,3.66769,20.4313,S
1,7.694,-4.82945,-3.72524,1.18317,3.18914,19.81628,S
1,7.86,-5.10157,-4.22559,0.93985,2.94154,18.93598,S
1,8.026,-5.33145,-4.40249,0.74571,2.68795,18.41938,S
1,8.191,-5.53295,-4.89228,0.38267,2.40201,18.85629,S
1,8.357,-5.54842,-4.9136,0.19651,2.19807,18.97531,S
1,8.522,-6.11904,-4.95239,-0.10138,1.88304,17.77609,S
1,8.687,-6.55169,-5.63963,-0.29854,1.57216,16.5418,S
1,8.852,-6.90608,-5.64443,-0.55222,1.34166,16.18083,S
1,9.019,-7.17237,-5.78445,-0.90318,1.08021,15.37885,S
1,9.184,-7.17128,-6.1709,-0.85335,0.89013,15.39452,S
1,9.349,-7.44357,-6.10118,-1.07747,0.7862,14.74647,S
1,9.515,-7.34274,-6.03088,-0.9927,0.81207,15.38737,S
1,9.681,-6.85457,-5.77139,-0.88614,1.02039,15.91146,S
1,9.847,-6.97943,-5.83727,-1.07532,0.73007,14.67138,S
1,10.012,-7.37059,-5.85398,-1.08114,0.49495,14.56768,S
1,10.178,-7.56225,-5.88971,-1.19957,0.27254,14.52035,S
1,10.344,-7.21787,-5.67075,-1.26924,0.18962,14.77133,S
1,10.511,-6.55916,-5.54206,-1.21661,-0.01155,14.18236,S
1,10.676,-7.06316,-6.17071,-1.46144,-0.18454,20.04904,S
