,time,중지,검지,약지,소지,엄지,target
1,0.237,0.16475,-0.05967,-0.19408,-0.14229,-0.13221,R
1,0.403,-0.27253,-0.22056,-0.39215,-0.21154,-0.25752,R
1,0.567,-0.4979,-0.37747,-0.52041,-0.24561,-0.38645,R
1,0.733,-0.42573,-0.44465,-0.49774,-0.22201,-0.50453,R
1,0.899,-0.39551,-0.51736,-0.62481,-0.3015,-0.64277,R
1,1.064,-0.23384,-0.53593,-0.49893,-0.37476,-0.7555,R
1,1.23,-0.07275,-0.52886,-0.50947,-0.41484,-0.83927,R
1,1.394,-0.12356,-0.59096,-0.68088,-0.51861,-0.91856,R
1,1.56,-0.34413,-0.6524,-0.87974,-0.77223,-1.01836,R
1,1.725,-0.28254,-0.66698,-1.04161,-0.88981,-1.14471,R
1,1.891,-0.32026,-0.63538,-1.11698,-1.06416,-1.21951,R
1,2.056,-0.30198,-0.62035,-1.16192,-1.0813,-1.27622,R
1,2.221,-0.46749,-0.67273,-1.31245,-1.12584,-1.34035,R
1,2.387,-0.42785,-0.63052,-1.17564,-1.17839,-1.4074,R
1,2.552,-0.53236,-0.70897,-1.31623,-1.33983,-1.5222,R
1,2.718,-0.60395,-0.72245,-1.42043,-1.39194,-1.60476,R
1,2.883,-0.67516,-0.77881,-1.52026,-1.48145,-1.73197,R
1,3.05,-0.33739,-0.63516,-1.24783,-1.39817,-1.80419,R
1,3.215,-0.35625,-0.68113,-1.34606,-1.54647,-1.87814,R
1,3.382,-0.36857,-0.70035,-1.46339,-1.55516,-1.9333,R
1,3.549,-0.66227,-0.81196,-1.69008,-1.72661,-1.98759,R
1,3.714,-0.78814,-0.78301,-1.74894,-1.71748,-2.02896,R
1,3.881,-0.8786,-0.93373,-1.87959,-1.80678,-2.09291,R
1,4.047,-0.96675,-0.99252,-1.99592,-2.06708,-2.19599,R
1,4.213,-1.23523,-1.03583,-2.12061,-2.02411,-2.23994,R
1,4.379,-1.23061,-1.07716,-2.15322,-2.10583,-2.28683,R
1,4.545,-1.21291,-1.11915,-2.35506,-2.21984,-2.34664,R
1,4.71,-1.42231,-1.1744,-2.48591,-2.21561,-2.40731,R
1,4.876,-1.46908,-1.21772,-2.73189,-2.3334,-2.45644,R
1,5.042,-1.98007,-1.36866,-3.41059,-2.43405,-2.21995,S
1,5.207,-2.44448,-0.70477,-4.74889,1.03766,2.97424,S
1,5.373,11.54706,13.54186,1.80184,6.04627,27.90352,S
1,5.538,13.35622,15.15207,-3.78563,1.41019,31.20664,S
1,5.704,10.63671,12.6152,-6.26458,-0.78827,29.79252,S
1,5.87,9.36818,11.89142,-6.90172,-1.14076,27.90352,S
1,6.036,9.27868,12.34359,-6.97708,-1.1323,26.2405,S
1,6.201,8.3002,11.05868,-7.73532,-1.47143,23.89938,S
1,6.368,7.53458,10.63016,-8.08869,-1.65692,21.92109,S
1,6.535,6.94737,10.3327,-7.93279,-1.7756,21.50999,S
1,6.7,6.50643,9.78329,-7.88983,-1.66271,20.04675,S
1,6.868,6.11111,9.70594,-7.20437,-1.48568,19.46086,S
1,7.033,5.85822,9.62726,-7.78842,-1.86556,18.50387,S
1,7.199,5.65767,9.19299,-7.93398,-1.99516,17.34399,S
1,7.364,5.50504,9.46593,-7.69257,-1.56874,17.27987,S
1,7.53,5.27062,8.70325,-7.97196,-1.59724,16.50507,S
1,7.695,4.19533,7.57261,-8.42635,-1.91856,15.7363,S
1,7.861,3.81733,7.28752,-8.72682,-2.22852,14.93858,S
1,8.027,3.57829,7.15691,-8.40209,-1.81257,14.52782,S
1,8.192,3.40988,7.26321,-8.81551,-2.17308,14.27271,S
1,8.358,3.31404,6.93966,-8.92329,-2.34899,14.14326,S
1,8.522,3.22011,7.12906,-9.02053,-2.23609,13.93969,S
1,8.688,2.93796,6.91911,-9.14004,-2.57856,13.41793,S
1,8.853,2.82498,6.74142,-9.22933,-2.54739,13.50291,S
1,9.019,2.68795,6.58009,-9.47273,-2.89721,13.22436,S
1,9.184,2.52878,6.45545,-9.6175,-3.07223,12.70898,S
1,9.35,2.6102,6.26937,-9.36754,-3.2408,12.34872,S
1,9.516,2.42504,6.16682,-9.52066,-3.33855,12.20255,S
1,9.681,2.23354,6.00129,-9.62923,-3.41871,12.07759,S
1,9.847,2.28435,6.06936,-9.41924,-3.49376,12.12102,S
1,10.012,2.20236,5.94648,-9.61173,-3.43118,12.18652,S
1,10.178,2.10132,5.91377,-9.62366,-3.68904,11.5965,S
1,10.343,1.96217,5.81786,-9.72926,-3.77187,11.49205,S
1,10.51,1.83091,5.65233,-9.78136,-3.72823,11.51359,S
1,10.675,1.78433,5.66471,-9.72488,-3.86963,11.32968,S
1,10.842,1.74334,5.50293,-9.8955,-4.02238,11.23436,S
1,11.009,1.68695,5.49144,-9.83724,-4.01615,10.90237,S
1,11.175,1.51431,5.29409,-9.77738,-4.0658,10.7512,S
1,11.341,1.43251,5.26735,-9.89968,-4.20832,10.68312,S
1,11.507,1.53201,5.44216,-10.00447,-4.49156,10.23892,S
1,11.674,1.49121,5.31309,-10.23853,-4.62271,10.09913,S
1,11.84,1.3382,5.18756,-10.46045,-4.60757,10.26219,S
1,12.006,1.29547,5.29829,-10.35426,-4.73717,9.96261,S
1,12.171,1.33589,5.29232,-10.40577,-4.78927,9.94176,S
1,12.337,1.24909,5.15287,-10.48849,-4.93178,9.63908,S
1,12.503,1.06221,4.94778,-10.63445,-5.0616,9.37483,S
1,12.668,0.8478,4.75087,-10.47676,-4.88035,9.27348,S
1,12.834,0.8122,4.62976,-10.59627,-5.11816,9.23745,S
1,12.999,0.72713,4.60147,-10.81879,-5.19254,9.13162,S
1,13.165,0.53794,4.22113,-10.96117,-5.4092,8.81946,S
1,13.33,0.28658,4.00653,-11.06239,-5.28316,8.92012,S
1,13.496,0.32257,4.05184,-11.04867,-5.39183,8.66915,S
1,13.661,0.18727,3.92454,-11.14492,-5.47533,8.68156,S
1,13.828,0.14223,3.85979,-11.15406,-5.52187,8.64347,S
1,13.993,0.1174,4.01515,-10.82734,-5.32235,8.5085,S
1,14.158,0.05928,3.81625,-11.16222,-5.49404,8.39577,S
1,14.324,0.00192,3.70266,-11.22903,-5.56908,8.32958,S
1,14.489,-0.05197,3.72056,-11.26264,-5.62831,8.40129,S
1,14.656,0.03503,3.88056,-11.15148,-5.4976,8.23857,S
1,14.821,-0.005,3.75967,-11.09779,-5.49448,8.32269,S
1,14.987,-0.00154,3.7599,-11.09858,-5.47711,8.33286,S
1,15.152,0.04273,3.73514,-10.89933,-5.39027,8.75361,R
1,15.318,0.23769,4.10245,-11.16858,-5.55883,9.85212,R
1,15.484,0.54621,5.55067,-10.30176,3.20495,28.63006,R
1,15.649,30.93607,23.77643,-1.18479,4.71468,19.11285,R
1,15.815,28.5116,20.49699,3.03296,2.4895,13.58651,R
1,15.981,20.99415,15.76557,0.6437,0.50013,11.12783,R
1,16.147,19.08433,14.09325,-0.73517,-0.56492,8.69018,R
1,16.313,17.91512,12.70095,-1.61611,-1.33181,7.52065,R
1,16.479,17.18991,12.05032,-2.00487,-1.86155,6.27753,R
1,16.645,16.47876,11.33715,-2.19697,-2.11986,5.77731,R
1,16.811,15.66945,10.88409,-3.30122,-3.05486,5.75542,R
1,16.977,14.98158,10.30839,-3.85285,-3.30983,5.76352,R
1,17.143,14.79489,9.80251,-3.29446,-2.48593,4.25132,R
1,17.31,14.19806,9.32913,-2.88879,-2.96112,3.93382,R
1,17.476,14.13339,9.21553,-3.63808,-3.88588,3.15126,R
1,17.642,13.63106,9.01288,-4.01352,-4.26621,2.46971,R
1,17.807,12.98727,8.59253,-3.97832,-4.4684,2.20219,R
1,17.973,12.36407,8.23561,-4.38837,-4.72893,1.83953,R
1,18.139,11.81247,7.98964,-5.11916,-5.07853,1.466,R
1,18.305,11.40425,7.75582,-5.52304,-5.37646,1.15039,R
1,18.471,10.83302,7.51824,-5.66284,-5.55883,0.94062,R
1,18.637,10.46234,7.22962,-5.87919,-5.69266,0.68241,R
1,18.804,9.99503,6.99027,-6.12299,-5.82738,0.39748,R
1,18.969,9.7481,6.80883,-6.16833,-5.67329,0.07636,R
1,19.136,9.55776,6.72441,-6.37992,-5.87748,0.10135,R
1,19.302,9.3701,6.56551,-6.24768,-5.94361,-0.15065,R
1,19.469,9.245,6.43644,-6.40974,-6.03291,-0.32836,R
1,19.636,8.954,6.37279,-6.63743,-6.09347,-0.48884,R
1,19.802,8.68108,6.19798,-6.79155,-6.18143,-0.69517,R
1,19.969,8.39123,6.18605,-6.86791,-6.2607,-0.62605,R
1,20.135,7.95453,5.96306,-7.11151,-6.34955,-1.08593,R
1,20.303,7.52861,5.87753,-7.27716,-6.4257,-1.20917,R
1,20.469,7.29111,5.81233,-7.35531,-6.4021,-1.32207,R
1,20.635,7.11058,5.74736,-7.50783,-6.55508,-1.39637,R
1,20.8,6.85114,5.56724,-7.53766,-6.59048,-1.48272,R
1,20.966,6.65059,5.4742,-7.68342,-6.7085,-1.57804,R
1,21.131,6.45274,5.35,-7.53905,-6.53259,-1.72473,R
1,21.297,6.22948,5.19375,-7.68302,-6.63524,-1.8609,R
2,0.239,-0.08965,-0.02886,-0.04014,-0.13272,-0.02512,R
2,0.404,-0.17438,-0.05968,-0.07738,-0.28182,-0.05222,R
2,0.57,-0.24667,-0.0863,-0.11363,-0.42203,-0.08327,R
2,0.735,-0.30133,-0.11096,-0.14828,-0.5267,-0.09258,R
2,0.901,-0.36321,-0.13225,-0.17741,-0.60584,-0.09541,R
2,1.066,-0.39502,-0.14094,-0.20105,-0.72384,-0.12363,R
2,1.232,-0.45604,-0.17064,-0.22824,-0.83767,-0.14791,R
2,1.396,-0.50694,-0.20118,-0.25705,-0.94512,-0.17162,R
2,1.562,-0.55552,-0.22948,-0.28198,-1.04203,-0.18206,R
2,1.727,-0.5908,-0.25077,-0.30335,-1.11755,-0.20577,R
2,1.893,-0.63158,-0.27459,-0.32828,-1.20084,-0.22158,R
2,2.058,-0.66715,-0.29616,-0.35029,-1.2697,-0.25545,R
2,2.224,-0.7166,-0.32334,-0.37393,-1.3455,-0.27126,R
2,2.389,-0.75217,-0.34884,-0.39594,-1.4188,-0.2817,R
2,2.554,-0.78051,-0.3693,-0.41601,-1.47822,-0.30682,R
2,2.72,-0.84384,-0.39283,-0.43706,-1.54402,-0.32404,R
2,2.885,-0.89445,-0.41048,-0.45583,-1.59927,-0.34691,R
2,3.052,-0.94592,-0.43738,-0.4772,-1.67451,-0.35283,R
2,3.217,-0.98641,-0.45503,-0.49792,-1.72449,-0.37909,R
2,3.383,-1.0266,-0.47661,-0.51638,-1.78197,-0.39179,R
2,3.55,-1.06275,-0.49398,-0.53548,-1.82361,-0.41663,R
2,3.715,-1.09543,-0.51416,-0.55296,-1.87859,-0.41917,R
2,3.881,-1.12377,-0.5234,-0.5685,-1.92274,-0.43497,R
2,4.047,-1.15153,-0.54245,-0.58598,-1.96411,-0.44909,R
2,4.214,-1.17813,-0.55731,-0.60314,-2.00298,-0.47139,R
2,4.379,-1.20763,-0.57748,-0.61933,-2.03768,-0.48917,R
2,4.546,-1.23539,-0.59513,-0.63713,-2.09627,-0.49566,R
2,4.71,-1.25882,-0.60774,-0.65041,-2.12959,-0.51429,R
2,4.876,-1.28455,-0.62595,-0.66433,-2.1654,-0.53179,R
2,5.042,-1.31058,-0.64052,-0.67695,-2.19594,-0.54421,S
2,5.207,-1.33747,-0.65509,-0.6899,-2.24675,-0.53857,S
2,5.373,-1.34528,-0.65173,-0.64296,-1.75031,-0.59982,S
2,5.538,1.07287,0.73299,1.5093,0.04054,2.43992,S
2,5.704,5.33688,2.65231,7.67408,0.4373,10.15513,S
2,5.869,7.95689,1.93614,6.83104,0.0808,9.04921,S
2,6.035,7.21051,1.2746,6.10682,-0.33846,8.43697,S
2,6.2,6.49275,0.84759,5.55969,-0.66331,7.93313,S
2,6.365,6.0023,0.54526,5.24372,-0.86238,7.68162,S
2,6.532,5.69605,0.31438,4.91673,-1.09533,7.49505,S
2,6.696,5.39675,0.12721,4.67651,-1.21722,7.30564,S
2,6.862,5.20473,-0.01653,4.5114,-1.40297,7.08576,S
2,7.027,5.06447,-0.16279,4.2605,-1.51625,6.94011,S
2,7.193,4.85308,-0.30037,4.04068,-1.58789,6.77103,S
2,7.359,4.63706,-0.42337,3.87751,-1.74587,6.65445,S
2,7.525,4.48755,-0.52704,3.76484,-1.88831,6.55256,S
2,7.691,4.33833,-0.62175,3.63761,-1.97299,6.44445,S
2,7.858,4.20965,-0.71085,3.53434,-2.01547,6.34481,S
2,8.024,4.06448,-0.79267,3.40872,-2.01964,6.25984,S
2,8.189,3.91294,-0.86748,3.27761,-2.20677,6.19577,S
2,8.355,3.77414,-0.93781,3.19246,-2.3095,6.10883,S
2,8.519,3.66598,-1.00309,3.11962,-2.39891,6.05068,S
2,8.685,3.56274,-1.06754,3.03836,-2.44111,5.98576,S
2,8.85,3.4864,-1.12218,2.97393,-2.45444,5.91407,S
2,9.016,3.41063,-1.17709,2.89364,-2.55606,5.86523,S
2,9.182,3.33978,-1.22753,2.86127,-2.53357,5.80822,S
2,9.348,3.31376,-1.27096,2.84897,-2.50913,5.74866,S
2,9.514,3.22989,-1.32616,2.76835,-2.44916,5.68825,S
2,9.68,3.13909,-1.37155,2.70425,-2.48109,5.64761,S
2,9.847,3.0558,-1.41694,2.74245,-2.52191,5.59398,S
2,10.012,2.94244,-1.46625,2.64889,-2.56855,5.5426,S
2,10.179,2.88229,-1.51445,2.71947,-2.56772,5.47994,S
2,10.344,2.79612,-1.559,2.70069,-2.59465,5.41191,S
2,10.511,2.70878,-1.60467,2.60033,-2.7307,5.37889,S
2,10.677,2.63504,-1.64418,2.56083,-2.76235,5.3261,S
2,10.843,2.57778,-1.68536,2.50256,-2.79678,5.27925,S
2,11.009,2.54511,-1.72627,2.43133,-2.78679,5.23211,S
2,11.174,2.49334,-1.76074,2.37047,-2.81122,5.19372,S
2,11.34,2.41729,-1.79968,2.31576,-2.9667,5.16098,S
2,11.505,2.358,-1.83135,2.28468,-2.99669,5.11581,S
2,11.671,2.33487,-1.86105,2.23968,-3.02029,5.08025,S
2,11.836,2.31058,-1.89467,2.19144,-3.02307,5.03339,S
2,12.002,2.27443,-1.92521,2.14967,-3.00974,5.01956,S
2,12.167,2.23423,-1.96472,2.11147,-3.10997,4.99105,S
2,12.333,2.2458,-1.99162,2.08039,-3.12413,4.96678,S
2,12.499,2.23105,-2.02496,2.05935,-3.1158,4.94448,S
2,12.664,2.20098,-2.0611,2.0532,-3.06916,4.89649,S
2,12.83,2.19519,-2.08968,1.99363,-3.14579,4.89169,S
2,12.995,2.14256,-2.12163,1.94798,-3.20659,4.84935,S
2,13.161,2.08444,-2.15609,1.91431,-3.25268,4.82536,S
2,13.326,2.04222,-2.18215,1.88097,-3.28628,4.78923,S
2,13.492,2.01098,-2.21745,1.82787,-3.28239,4.74548,S
2,13.657,1.97744,-2.24631,1.78287,-3.35875,4.73024,S
2,13.823,1.94765,-2.27545,1.76312,-3.35958,4.69778,S
2,13.989,1.93464,-2.29423,1.79938,-3.41456,4.67237,S
2,14.155,1.93088,-2.31244,1.73593,-3.32959,4.6306,S
2,14.321,1.92134,-2.33569,1.69578,-3.27462,4.60632,S
2,14.487,1.8823,-2.36792,1.66406,-3.41511,4.58092,S
2,14.653,1.88056,-2.39229,1.64495,-3.38318,4.55213,S
2,14.818,1.91208,-2.41527,1.63233,-3.37207,4.5191,S
2,14.984,1.92712,-2.44525,1.60222,-3.32265,4.48128,S
2,15.149,2.05407,-2.40686,1.85248,-2.41001,4.44543,R
2,15.315,4.2776,-1.74505,4.44244,1.25943,4.57273,R
2,15.481,7.32415,0.38022,4.06787,-0.90764,5.97334,R
2,15.646,6.69865,0.10872,3.59747,-1.74781,6.41481,R
2,15.812,6.14226,-0.27683,3.32714,-2.2723,6.21496,R
2,15.977,6.10756,-0.50967,3.05746,-2.64741,6.09641,R
2,16.144,5.74521,-0.67162,2.87487,-2.87314,5.94004,R
