,time,중지,검지,약지,소지,엄지,target
1,0.238,-0.1644,-0.0601,-0.08959,-0.02593,-0.19658,S
1,0.404,-0.29793,-0.12339,-0.15917,-0.08252,-0.33563,S
1,0.568,-0.42674,-0.18638,-0.24368,-0.13936,-0.45894,S
1,0.734,-0.54043,-0.23724,-0.31714,-0.1962,-0.46952,S
1,0.9,-0.64436,-0.28492,-0.37926,-0.24624,-0.52008,S
1,1.065,-0.74356,-0.33809,-0.46706,-0.29182,-0.66533,S
1,1.231,-0.85883,-0.38664,-0.5232,-0.32456,-0.80541,S
1,1.395,-0.94859,-0.43778,-0.58382,-0.36019,-0.84643,S
1,1.561,-1.05598,-0.48488,-0.65131,-0.40393,-0.94858,S
1,1.726,-1.15518,-0.52996,-0.72238,-0.44401,-1.01514,S
1,1.892,-1.2503,-0.57446,-0.76807,-0.46261,-1.11575,S
1,2.057,-1.34446,-0.60567,-0.8048,-0.50112,-1.20011,S
1,2.222,-1.42414,-0.65191,-0.86543,-0.54251,-1.27441,S
1,2.388,-1.51925,-0.69756,-0.92993,-0.5873,-1.35696,S
1,2.553,-1.60901,-0.74091,-0.99533,-0.63288,-1.43874,S
1,2.72,-1.68428,-0.77876,-1.04789,-0.6706,-1.50891,S
1,2.885,-1.7501,-0.82702,-1.1097,-0.70702,-1.58063,S
1,3.051,-1.82285,-0.86285,-1.16047,-0.73976,-1.61984,S
1,3.216,-1.87481,-0.90099,-1.21303,-0.77067,-1.64229,S
1,3.383,-1.94914,-0.93769,-1.26589,-0.80813,-1.75348,S
1,3.55,-2.02315,-0.96919,-1.31337,-0.84585,-1.81204,S
1,3.715,-2.08865,-0.99751,-1.35757,-0.87991,-1.93303,S
1,3.882,-2.14345,-1.03103,-1.40326,-0.90767,-2.00036,S
1,4.048,-2.1992,-1.0631,-1.44536,-0.93204,-2.02874,S
1,4.214,-2.24959,-1.09518,-1.49583,-0.96897,-2.04602,S
1,4.382,-2.30502,-1.12321,-1.53226,-1.00276,-2.11542,S
1,4.549,-2.36107,-1.15471,-1.58243,-1.03996,-2.16959,S
1,4.714,-2.41776,-1.18331,-1.62603,-1.07533,-2.15515,S
1,4.88,-2.45807,-1.2073,-1.65888,-1.09969,-2.1616,S
1,5.045,-2.50405,-1.22984,-1.68875,-1.11278,-2.21603,R
1,5.21,-2.5472,-1.24053,-1.68188,-1.09471,-2.25447,R
1,5.376,-2.56263,-1.20296,-1.50061,-0.75155,0.56291,R
1,5.541,-0.53067,-0.178,-0.46258,-0.4207,1.98617,R
1,5.707,3.45611,0.95127,1.14255,0.98128,10.16124,R
1,5.872,4.35336,2.97923,2.39918,2.28503,15.24985,R
1,6.038,3.56885,2.57208,2.13131,2.04168,15.25914,R
1,6.203,2.8256,2.30681,1.76938,1.81194,15.00735,R
1,6.369,2.29053,2.06148,1.51614,1.53113,14.19704,R
1,6.534,1.85245,1.83811,1.24498,1.31973,13.54668,R
1,6.699,1.55421,1.65202,1.1106,1.0714,13.26678,R
1,6.866,1.30257,1.51129,0.92306,0.9247,13.15172,R
1,7.03,1.08621,1.40726,0.78121,0.76517,12.98197,R
1,7.196,0.87962,1.29861,0.60442,0.61376,12.65563,R
1,7.361,0.69065,1.18476,0.38374,0.47519,12.33883,R
1,7.527,0.52972,1.07091,0.31923,0.32089,12.13399,R
1,7.692,0.36659,0.99549,0.20755,0.19568,11.80843,R
1,7.859,0.22959,0.91458,0.09914,0.08225,11.70833,R
1,8.025,0.10613,0.83713,0.01433,-0.03772,11.36316,R
1,8.191,-0.01858,0.76027,-0.0869,-0.14512,11.16038,R
1,8.357,-0.13511,0.69438,-0.17739,-0.24178,11.01901,R
1,8.523,-0.23715,0.62445,-0.26518,-0.34578,10.74556,R
1,8.689,-0.29667,0.5395,-0.35059,-0.44113,10.26004,R
1,8.855,-0.41068,0.46581,-0.44854,-0.53727,9.90945,R
1,9.022,-0.52027,0.39762,-0.56351,-0.6114,9.99665,R
1,9.187,-0.62357,0.34416,-0.63488,-0.69759,9.46134,R
1,9.354,-0.70955,0.2881,-0.70028,-0.77879,9.14609,R
1,9.52,-0.79836,0.2384,-0.76031,-0.85293,8.9312,R
1,9.685,-0.86985,0.18898,-0.83795,-0.92261,8.74442,R
